Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
1806.93,405.865,104.216,µm,Spot,Position,1,96750,
1768.57,412.052,113.921,µm,Spot,Position,1,96751,
1825.6,534.43,133.617,µm,Spot,Position,1,96752,
1741,516.669,156.33,µm,Spot,Position,1,96753,
1804.09,529.53,171.095,µm,Spot,Position,1,96754,
1479.43,574.612,101.029,µm,Spot,Position,1,96757,
1559.28,699.67,100.418,µm,Spot,Position,1,96758,
1462.44,560.236,119.601,µm,Spot,Position,1,96759,
1850.34,583.419,141.211,µm,Spot,Position,1,96760,
1852.21,562.782,161.955,µm,Spot,Position,1,96761,
1677.98,859.499,168.708,µm,Spot,Position,1,96762,
1774.31,802.841,152.83,µm,Spot,Position,1,96763,
2024.39,797.715,138.077,µm,Spot,Position,1,96764,
-175.938,1164.12,121.485,µm,Spot,Position,1,96772,
-201.596,1158.42,126.802,µm,Spot,Position,1,96774,
1079.82,1164.06,131.417,µm,Spot,Position,1,96775,
1235.08,1145.08,104.439,µm,Spot,Position,1,96776,
1197.44,1165.39,114.381,µm,Spot,Position,1,96777,
1217.04,1100.77,131.766,µm,Spot,Position,1,96778,
1208.72,1142.94,150.522,µm,Spot,Position,1,96779,
1233.27,1161.42,169.46,µm,Spot,Position,1,96780,
1333.12,1150.55,96.7863,µm,Spot,Position,1,96781,
1367.42,1160.92,101.135,µm,Spot,Position,1,96782,
1284.5,1163.24,105.983,µm,Spot,Position,1,96783,
1357.73,1024.48,112.698,µm,Spot,Position,1,96784,
1279.27,1093.35,118.313,µm,Spot,Position,1,96785,
1362.81,1099.08,117.479,µm,Spot,Position,1,96786,
1278.42,1103.1,132.898,µm,Spot,Position,1,96787,
1330.82,1072.22,149.468,µm,Spot,Position,1,96788,
1314.48,1114,157.069,µm,Spot,Position,1,96789,
1380.58,1060.46,160.864,µm,Spot,Position,1,96790,
1366.12,1130.28,162.347,µm,Spot,Position,1,96791,
1285.02,1155.63,164.343,µm,Spot,Position,1,96792,
1260.11,1138.78,172.744,µm,Spot,Position,1,96793,
1430.29,1132.49,92.2606,µm,Spot,Position,1,96794,
1492.45,1152.39,99.8522,µm,Spot,Position,1,96795,
1419.83,1105.64,120.014,µm,Spot,Position,1,96796,
1417.19,1171.65,128.806,µm,Spot,Position,1,96797,
1432.18,1150.71,167.21,µm,Spot,Position,1,96798,
1982.88,1162.97,165.891,µm,Spot,Position,1,96799,
1338.51,1276.78,110.097,µm,Spot,Position,1,96801,
1396.43,1318.32,140.051,µm,Spot,Position,1,96803,
1385.79,1280.1,158.973,µm,Spot,Position,1,96807,
